model,n_complete_samples,pairwise_agreement_mean,pairwise_agreement_std,all_prompts_agree_rate,fleiss_kappa,mean_entropy
qwen,277,0.9181708784596871,0.024544016912600622,0.851985559566787,0.8362051348942369,0.8711167679233104
llama,178,0.9035580524344567,0.03514667486727241,0.8314606741573034,0.7634177578625785,0.8930576038601753
deepseek,298,0.8489932885906041,0.023329590172946543,0.7214765100671141,0.6954868010218564,0.8590270327285089
