model,cot_v3,compressed,no_examples,lenient,mean,std
llama,0.9080459770114943,0.8032786885245902,0.7244897959183674,0.8344370860927153,0.8175628868867917,0.06583799583565622
qwen,0.9159420289855073,0.8737864077669902,0.8840125391849529,0.8776978417266187,0.8878597044160172,0.016618805352905164
deepseek,0.8414634146341463,0.893491124260355,0.84375,0.8802395209580839,0.8647360149631463,0.022634275772245603
